ZIP_CODE,MEDIAN_HOUSEHOLD_INCOME,MEAN_HOUSEHOLD_INCOME,
4103,55954,65488,
4105,88841,121369,
4106,51529,64212,
4107,81192,123633,
4108,58429,99366,
4109,58429,99366,
4110,85168,120334,
4210,42117,55830,
4217,38631,49975,
4219,43994,52567,
4220,45756,55195,
4221,41350,48315,
4222,74952,81279,
4224,41466,48372,
4227,41401,48028,
4228,32677,38772,
4231,44549,52546,
4234,31406,49005,
4236,56719,60233,
4237,39861,52721,
4238,48258,56934,
4239,40208,44444,
4240,37562,47465,
4250,42531,55021,
4252,45635,51141,
4253,41833,57404,
4254,32677,38772,
4255,44549,52546,
4256,57461,62178,
4257,33194,43931,
4258,57465,62145,
4259,50327,64094,
4260,65117,70252,
4263,51429,58227,
4265,50461,64318,
4267,45086,59891,
4268,38853,60147,
4270,43171,49862,
4271,37342,49847,
4274,56585,69091,
4275,33194,43931,
4276,31579,41316,
4280,51911,58615,
4281,37342,49847,
4282,61949,67417,
4284,54239,69824,
4285,41923,49976,
4286,39861,52721,
4287,63192,68092,
4289,41071,47668,
4290,40750,51715,
4292,40750,51715,
4294,31670,49011,
4330,32081,40593,
4342,43799,57895,
4343,58066,66948,
4344,51168,57911,
4345,50261,59338,
4346,49682,56633,
4347,59500,88317,
4349,54204,69799,
4350,61100,67899,
4351,61472,82243,
4352,51583,67916,
4354,50893,52663,
4355,62935,68500,
4357,55917,53871,
4358,53673,66846,
4359,55217,63759,
4360,51583,67916,
4363,44747,58015,
4364,58066,66948,
4401,44997,58452,
4406,28902,39087,
4408,44615,54674,
4410,42664,48946,
4411,45369,47777,
4412,49913,59916,
4413,31898,39776,
4414,34718,43182,
4415,33696,41510,
4416,49035,50644,
4417,37226,45620,
4418,41148,49480,
4419,48530,51805,
4421,47431,69386,
4422,47250,48514,
4424,32989,41545,
4426,41447,46722,
4427,47250,48514,
4428,49503,62019,
4429,53791,66047,
4430,34041,43392,
4431,46143,59269,
4434,48852,57146,
4435,41490,46670,
4438,44347,52856,
4441,40821,48828,
4442,40809,48387,
4443,30331,42297,
4444,80066,86767,
4448,32758,40377,
4449,42664,48946,
4450,57280,78506,
4451,28899,38279,
4453,39225,46623,
4454,31898,39776,
4455,37226,45620,
4456,52302,56344,
4457,32548,41371,
4459,26576,35567,
4460,41401,48357,
4461,45369,47777,
4462,35908,44158,
4463,31016,37515,
4464,29724,39369,
4468,34495,44316,
4469,27663,52647,
4471,36306,46922,
4472,46143,59269,
4473,37175,56236,
4474,68135,71918,
4475,42045,50363,
4476,47431,69386,
4478,33194,37527,
4479,31206,44304,
4481,31005,37498,
4485,29708,39349,
4487,25492,34302,
4488,48852,57146,
4489,41458,51207,
4490,31898,39776,
4491,31898,39776,
4492,31898,39776,
4493,44092,54348,
4495,37226,45620,
4496,50596,58168,
4497,34942,45331,
4530,45563,53868,
4535,55809,67856,
4537,51374,59203,
4538,46250,74216,
4539,52873,83281,
4541,52873,83281,
4543,47692,57506,
4544,51390,59155,
4547,47727,59364,
4548,55645,63481,
4551,52873,83281,
4553,55809,67856,
4554,52873,83281,
4555,47692,57506,
4556,55809,67856,
4558,52873,83281,
4562,53617,65431,
4563,47727,59364,
4564,52873,83281,
4568,52019,66709,
4570,46250,74216,
4571,51390,59155,
4572,42201,56054,
4573,52019,66709,
4574,50409,56742,
4575,46250,74216,
4576,46250,74216,
4578,43799,57895,
4579,55645,63481,
4605,49144,61412,
4606,37604,46270,
4607,44532,55903,
4609,64057,76141,
4611,37332,45709,
4612,39300,51620,
4613,44531,55917,
4614,47008,65669,
4616,44434,65556,
4617,44434,65556,
4619,31215,41556,
4622,33452,41585,
4623,37570,46225,
4624,44531,55917,
4625,35438,53596,
4626,30978,45786,
4627,40000,52872,
4628,35614,46612,
4629,47008,65669,
4630,39058,49424,
4631,30600,43614,
4634,43550,52423,
4635,39300,51620,
4637,31898,39776,
4640,48344,59519,
4642,44434,65556,
4643,37604,46270,
4644,64057,76141,
4645,46141,59175,
4646,35438,53596,
4648,37332,45709,
4649,37332,45709,
4650,40000,52872,
4652,31038,45797,
4653,39300,51620,
4654,34699,43509,
4655,39083,49456,
4657,37015,46861,
4658,33186,41272,
4660,54464,66385,
4662,54464,66385,
4664,43253,51800,
4666,37015,46861,
4667,31185,35896,
4668,38441,44780,
4669,44531,55917,
4671,31185,35918,
4673,44434,65556,
4674,39300,51620,
4675,54464,66385,
4676,44446,65571,
4677,43250,51790,
4679,35476,53622,
4680,33186,41272,
4681,40000,52872,
4683,40000,52872,
4684,47008,65669,
4685,39300,51620,
4686,31898,39776,
4691,37015,46861,
4693,44531,55917,
4694,44525,51767,
4730,33192,42343,
4732,35849,45576,
4733,36063,46771,
4734,36605,44926,
4735,34755,41590,
4736,40233,52052,
4739,34183,42788,
4740,34944,46192,
4741,34119,42696,
4742,34944,46192,
4743,38732,48454,
4745,41148,46222,
4746,30475,43562,
4747,37230,44419,
4750,32583,40084,
4756,34302,45763,
4757,47621,60097,
4758,36736,45162,
4760,34755,41590,
4761,36284,45435,
4762,36667,46387,
4763,36284,45435,
4764,34755,41590,
4765,33419,45095,
4766,35676,43864,
4768,35852,45583,
4769,36799,47489,
4772,40971,46229,
4773,34324,45769,
4774,34119,42696,
4776,37129,44693,
4777,33375,45103,
4779,36667,46387,
4780,36684,44919,
4781,34119,42696,
4783,36667,46387,
4785,31293,43935,
4786,35676,43864,
4787,36736,45162,
4841,30461,41099,
4843,44251,71266,
4847,50409,56742,
4848,48538,62607,
4849,48538,62607,
4851,46141,59175,
4852,52873,83281,
4853,46141,59175,
4854,48707,64193,
4855,39777,52632,
4856,69554,85391,
4858,48707,64193,
4859,40295,53303,
4860,39777,52632,
4861,51006,56615,
4862,50409,56742,
4863,46141,59175,
4864,51006,56615,
4901,41373,52371,
4910,51488,64990,
4911,36555,45281,
4912,33848,40412,
4915,39499,50227,
4917,56379,71470,
4918,56379,71470,
4920,32343,40803,
4921,38687,51229,
4922,35360,44532,
4923,41800,47211,
4924,43807,51617,
4925,33194,37527,
4926,53673,66846,
4927,34338,43738,
4928,36417,49142,
4929,36984,45342,
4930,37600,44176,
4932,47500,59508,
4933,35104,43986,
4936,37237,42584,
4937,46685,54205,
4938,38553,50518,
4939,41490,46670,
4940,37989,50873,
4941,42859,50311,
4942,33171,40402,
4943,32136,44482,
4944,46685,54205,
4945,3738,4226,
4949,37682,48795,
4950,35270,55885,
4951,38687,51229,
4952,37682,48795,
4953,35113,43997,
4955,40305,48744,
4956,42431,47773,
4957,42009,55176,
4958,34788,43060,
4961,35321,42839,
4962,50389,59546,
4963,47082,67134,
4964,45369,56479,
4965,36984,45342,
4966,42237,49489,
4967,40015,51461,
4969,47500,59508,
4970,47160,58615,
4971,41800,47211,
4973,37682,48795,
4974,44347,52856,
4975,46685,54205,
4976,32826,46179,
4978,42838,51595,
4979,31340,42540,
4981,44347,52856,
4982,37237,42584,
4983,31691,35681,
4984,42959,48368,
4985,33194,37527,
4986,36570,46760,
4987,35360,44532,
4988,35623,44865,
4989,50389,59546,
4992,37792,51054,
5001,50513,63764,
5031,56378,69425,
5032,47983,57408,
5033,46075,57546,
5034,61010,80476,
5035,58256,77088,
5036,50640,61616,
5037,58256,77088,
5038,49363,62717,
5039,48125,56371,
5040,47602,57110,
5041,49226,61697,
5042,48983,62169,
5043,69667,81975,
5045,57135,67406,
5046,49402,62498,
5048,62212,79164,
5050,61786,72232,
5051,48009,59646,
5052,62212,79164,
5053,56378,69425,
5055,86458,106286,
5056,58256,77088,
5058,64997,76546,
5059,52356,90187,
5060,49700,61473,
5061,49230,61730,
5062,58256,77088,
5065,56378,69425,
5067,56378,69425,
5068,40141,53444,
5069,48772,61873,
5070,49363,62717,
5071,72355,93852,
5072,49363,62717,
5075,68061,80452,
5076,48125,56371,
5077,49363,62717,
5079,49363,62717,
5081,48009,59646,
5083,53668,63376,
5084,53068,71594,
5086,49442,57194,
5089,48659,60022,
5091,72113,93715,
5101,37968,55254,
5141,50602,72758,
5142,48274,53754,
5143,45893,62960,
5146,49816,71921,
5148,50715,59601,
5149,46105,60482,
5150,39984,52872,
5151,59811,71307,
5152,60370,79468,
5153,48274,53754,
5154,52404,74678,
5155,49285,57966,
5156,41948,54867,
5158,50617,63222,
5161,44840,61816,
5201,42005,57108,
5250,48886,67056,
5251,66367,93556,
5252,52375,61160,
5253,66266,93261,
5254,56793,82695,
5255,56809,82713,
5257,50151,66295,
5260,51434,59060,
5261,51434,59060,
5262,57352,67729,
5301,44422,58122,
5340,60370,79468,
5341,52589,72213,
5342,51123,70084,
5343,45185,53921,
5345,60935,71338,
5346,52798,64362,
5350,52375,61160,
5352,52375,61160,
5353,49816,71921,
5354,58968,68010,
5355,41836,58975,
5356,52589,72213,
5358,40000,74759,
5359,49199,69526,
5360,41849,58955,
5361,55761,68135,
5362,64643,71143,
5363,52039,64012,
5401,38543,54063,
5403,72279,81120,
5404,42911,54044,
