ZIP,MEDIAN_HOUSEHOLD_INCOME,POPULATION,POPULATION_DENSITY_PER_SQ_MILE,HYDROCODONE,OXYCODONE
31060,24720,1915,18.81287331,0.0,0.0
31061,37323,43755,185.0074417,49697.5,88360.0
31062,30912,495,1840.1486989999999,0.0,0.0
31063,25579,5666,49.61992504,8602.5,13420.0
31064,40813,9450,37.44235067,11477.5,16795.0
31065,51789,1118,17.34408936,0.0,0.0
31066,23843,1147,16.84856853,0.0,0.0
31067,31925,222,63.86651323,0.0,0.0
31068,33060,5425,60.39117899,1850.0,4566.71
31069,55311,18948,196.4500477,28940.0,38447.5
31070,31038,998,19.64798992,0.0,0.0
31071,42748,1199,21.67154683,1107.5,1560.0
31072,27323,1326,17.51535566,0.0,0.0
31075,44266,2496,45.73606479,0.0,0.0
31076,27922,3064,25.56102444,1232.5,6627.5
31077,32078,1275,13.43774372,3342.5,12357.5
31078,25808,3566,33.76734056,5405.0,9170.0
31079,34634,2398,21.43770282,2112.5,2652.5
31081,24770,251,7.089394153,0.0,0.0
31082,30384,10408,46.28410829,26602.5,18545.0
31083,26031,362,176.4132554,0.0,0.0
31084,26172,129,486.7924528,0.0,0.0
31085,44460,1043,23.55837644,0.0,0.0
31087,23403,9656,20.82021648,1830.0,2455.0
31088,57893,50163,1595.9213539999998,64422.5,64837.171
31089,32520,4838,31.53640571,0.0,0.0
31090,37622,1038,7.221824102,0.0,0.0
31091,31259,5189,59.80246401,737.5,1640.0
31092,31316,7420,39.55940842,1800.0,590.0
31093,41030,28087,1430.455819,96370.0,88277.5
31094,34121,1114,10.32188722,0.0,0.0
31096,25265,7395,43.29599944,6192.5,10385.0
31097,44573,1302,24.356480100000002,0.0,0.0
31098,47965,2888,160.106442,0.0,0.0
31201,21694,8761,823.2475099,23715.0,102772.3355
31204,33683,31482,2151.438529,66340.0,109520.0
31206,27999,29072,1041.074306,67112.5,115712.3355
31207,9300,974,5662.790698,0.0,0.0
31210,62369,30968,749.3950247,62102.5,106089.342
31211,43031,16282,331.1772842,56095.0,76587.0065
31216,60590,16109,292.33281919999996,29555.0,63552.5
31217,31974,18408,186.512118,15397.5,24985.0
31220,57138,13839,291.40871760000005,6177.5,5082.5
31301,32609,4591,390.3247747,0.0,0.0
31302,54152,7853,183.24582900000001,0.0,0.0
31303,64996,1999,24.57192728,0.0,0.0
31304,37917,132,57.99648506,0.0,0.0
31305,39455,5989,142.2295051,7270.0,58110.0
31307,45463,998,264.30084750000003,0.0,0.0
31308,47290,7305,85.11505971,0.0,0.0
31309,47387,1210,49.5982948,0.0,0.0
31312,56808,16443,103.0844461,2090.0,7037.5
31313,44069,40302,637.0246262000001,30712.5,41882.5
31314,70281,1931,212.57155440000002,0.0,0.0
