,ZIP,MEDIAN_HOUSEHOLD_INCOME,POPULATION,POPULATION_DENSITY_PER_SQ_MILE
635,3082,80299,1615,56.53970032
636,3084,72806,1366,61.44849303
637,3086,68090,3728,138.1815486
638,3087,114204,13592,507.0506603
639,3101,28275,3049,3939.2764859999997
640,3102,50355,31096,3482.9749100000004
641,3103,51018,36476,3733.8519810000003
642,3104,61017,32798,3939.6997
643,3106,53663,13374,366.91358019999996
644,3109,67513,10314,1400.407332
645,3110,117684,21203,645.7242051
646,3215,49073,247,5.095304893
647,3216,64522,2159,56.35163000000001
648,3217,44153,2076,188.9161889
649,3218,65727,960,69.27406552
650,3220,56585,7430,240.38306
651,3221,67314,2091,45.48915526
652,3222,47954,5353,73.63338744
653,3223,44546,3427,46.79712144
654,3224,78500,2318,57.66312595
655,3225,65804,3660,127.0965726
656,3226,1341,1117,82.91886274
657,3227,51866,925,14.33597322
658,3229,86083,5589,128.873824
659,3230,62943,1231,30.12947598
660,3231,64522,202,91.9435594
661,3233,66146,115,212.17712180000004
662,3234,71686,4572,133.05782720000002
663,3235,49138,8562,289.2763025
664,3237,64219,2254,61.67232133
665,3238,44050,75,27.02702703
666,3240,54297,1340,32.15048346
667,3241,70144,876,21.16555523
668,3242,73472,4836,109.81425130000001
669,3243,62943,1085,41.14836165
670,3244,57426,8092,98.34232658
671,3245,44153,2027,66.77427856
672,3246,45867,15963,797.6315394999999
673,3249,60450,7113,182.8205721
674,3251,49073,1662,11.03988841
675,3253,58931,6219,159.70724189999999
676,3254,74162,4049,68.03555526
677,3255,67396,2090,56.85991784
678,3256,585,2169,57.72916001
679,3257,66175,4455,194.24460430000002
680,3258,74808,2517,120.33849679999999
681,3259,51866,368,15.72783999
682,3260,67396,809,33.12044543
683,3261,64816,4246,151.68077730000002
684,3262,44050,1231,21.62000773
685,3263,57987,4114,169.25861930000002
686,3264,43783,7468,202.74746159999998
687,3266,51840,2163,21.11892209
688,3268,64522,1272,41.65302246
689,3269,61702,2966,62.30176235
690,3273,67396,312,52.86343612
691,3275,58388,11437,265.3596288
692,3276,55931,8324,210.53164040000001
693,3278,63262,2952,47.42473412
694,3279,44050,829,18.10043668
695,3280,52648,1123,24.70466595
696,3281,78480,8785,149.29558319999998
697,3282,59259,902,21.81642278
698,3284,81000,999,25.80061983
699,3285,49073,2479,49.40805995
700,3287,62943,1295,49.31454684
701,3290,98477,4731,103.2383363
702,3291,98542,39,215.4696133
703,3293,44050,143,88.16276202
704,3301,52876,33008,666.5589661
705,3303,57450,15524,230.1079094
706,3304,103270,7519,268.2291667
707,3307,74570,5334,107.38011840000001
