BUYER_ZIP,BUYER_COUNTY,BUYER_CITY,BUYER_STATE,COUNT
92708,ORANGE,FOUNTAIN VALLEY,CA,6343
70816,EAST BATON ROUGE,BATON ROUGE,LA,6337
98908,YAKIMA,YAKIMA,WA,6325
85282,MARICOPA,TEMPE,AZ,6314
45424,MONTGOMERY,HUBER HEIGHTS,OH,6309
65613,POLK,BOLIVAR,MO,6300
75703,SMITH,TYLER,TX,6277
73071,CLEVELAND,NORMAN,OK,6277
80537,LARIMER,LOVELAND,CO,6273
93257,TULARE,PORTERVILLE,CA,6262
21804,WICOMICO,SALISBURY,MD,6262
46237,MARION,INDIANAPOLIS,IN,6261
91786,SAN BERNARDINO,UPLAND,CA,6247
63026,SAINT LOUIS,FENTON,MO,6244
41653,FLOYD,PRESTONSBURG,KY,6228
37701,BLOUNT,ALCOA,TN,6215
2721,BRISTOL,FALL RIVER,MA,6212
35020,JEFFERSON,BESSEMER,AL,6209
27284,FORSYTH,KERNERSVILLE,NC,6199
42001,MCCRACKEN,PADUCAH,KY,6198
40509,FAYETTE,LEXINGTON,KY,6194
38654,DESOTO,OLIVE BRANCH,MS,6193
16601,BLAIR,ALTOONA,PA,6193
59601,LEWIS AND CLARK,HELENA,MT,6184
97123,WASHINGTON,HILLSBORO,OR,6181
37918,KNOX,KNOXVILLE,TN,6179
40391,CLARK,WINCHESTER,KY,6174
24210,WASHINGTON,ABINGDON,VA,6157
46202,MARION,INDIANAPOLIS,IN,6156
92345,SAN BERNARDINO,HESPERIA,CA,6144
30134,DOUGLAS,DOUGLASVILLE,GA,6140
40601,FRANKLIN,FRANKFORT,KY,6136
27030,SURRY,MOUNT AIRY,NC,6131
70401,TANGIPAHOA,HAMMOND,LA,6131
37716,ANDERSON,CLINTON,TN,6122
11223,KINGS,BROOKLYN,NY,6122
72032,FAULKNER,CONWAY,AR,6119
45011,BUTLER,HAMILTON,OH,6118
31405,CHATHAM,SAVANNAH,GA,6114
22601,WINCHESTER CITY,WINCHESTER,VA,6109
85122,PINAL,CASA GRANDE,AZ,6107
48127,WAYNE,DEARBORN HEIGHTS,MI,6106
30721,WHITFIELD,DALTON,GA,6104
33870,HIGHLANDS,SEBRING,FL,6101
11229,KINGS,BROOKLYN,NY,6094
23666,HAMPTON CITY,HAMPTON,VA,6087
43055,LICKING,NEWARK,OH,6081
33809,POLK,LAKELAND,FL,6076
85382,MARICOPA,PEORIA,AZ,6074
38671,DESOTO,SOUTHAVEN,MS,6068
46368,PORTER,PORTAGE,IN,6064
72756,BENTON,ROGERS,AR,6062
41240,JOHNSON,PAINTSVILLE,KY,6062
95825,SACRAMENTO,SACRAMENTO,CA,6057
36117,MONTGOMERY,MONTGOMERY,AL,6052
48089,MACOMB,WARREN,MI,6033
27330,LEE,SANFORD,NC,6020
45040,WARREN,MASON,OH,6020
