ZIP_CODE,POPULATION,POPULATION_DENSITY_PER_SQ_MILE
4619,3121,90.9355788
4622,1412,5.490275369
4623,1054,7.743110909
4624,184,32.235459
4625,47,22.25378788
4626,507,10.79504322
4627,1636,76.23485555
4628,703,8.090968729
4629,107,47.15733803
4630,1398,15.98426727
4631,1331,364.5576554
4634,1923,18.18233392
4635,61,13.73873874
4637,136,1.517620015
4640,2261,81.62749558
4642,123,21.75451008
4643,1018,47.79118351
4644,13,2600
4645,73,5.830205255
4646,94,89.18406072
4648,580,16.89238386
4649,1370,48.04151909
4650,235,61.1183355
4652,1690,27.57697893
4653,490,170.969993
4654,3424,34.22870453
4655,1119,52.25553376
4657,363,3.601833661
4658,1353,55.80532068
4660,1309,45.3773356
4662,488,180.2733653
4664,1238,34.52507111
4666,1172,18.6037652
4667,1638,54.89644078
4668,1680,17.27168985
4669,204,74.67057101
4671,576,20.43422733
4673,112,37.17225357
4674,484,57.08893607
4675,253,49.4044132
4676,1088,45.31067799
4677,274,68.60290436
4679,1767,128.7619325
4680,1131,26.28704242
4681,1043,106.3417618
4683,104,23.47629797
4684,1466,39.65055581
4685,332,23.12460821
4686,114,1.006844778
4691,441,9.385774486
4693,516,35.93314763
4694,2376,18.13131467
4730,9992,42.5842031
4732,1670,3.81253296
4733,221,4.196494693
4734,800,17.72342594
4735,617,12.72532277
4736,9876,59.20224436
4739,1112,4.937898817
